street_edge_id,osm_way_id,way_type
1501,475384153,residential
1502,475384154,residential
1503,475384154,residential
1504,475384154,residential
1505,475385572,tertiary
1506,475385572,tertiary
1507,475385572,tertiary
1508,475385572,tertiary
1509,475385573,tertiary
1510,475385573,tertiary
1511,475391183,tertiary
1512,475391184,tertiary
1513,475391184,tertiary
1514,475391184,tertiary
1515,475391184,tertiary
1516,475392783,residential
1517,475392784,residential
1518,475392784,residential
1519,475392785,residential
1520,475392785,residential
1521,475394412,residential
1522,475394412,residential
1523,475394489,residential
1524,475394489,residential
1525,475394491,residential
1526,475395526,residential
1527,475395526,residential
1528,475395818,residential
1529,475395818,residential
1530,475396178,residential
1531,475396179,residential
1532,475396179,residential
1533,475396372,primary
1534,475396372,primary
1535,475396372,primary
1536,475396373,primary
1537,475396373,primary
1538,475396689,tertiary
1539,475396689,tertiary
1540,475396689,tertiary
1541,475397600,residential
1542,475397600,residential
1543,475397601,residential
1544,475397602,residential
1545,475397602,residential
1546,475397603,residential
1547,475397603,residential
1548,475397603,residential
1549,475398672,residential
1550,475398673,residential
1551,475398673,residential
1552,475398674,residential
1553,475398674,residential
1554,475398674,residential
1555,475398674,residential
1556,475398674,residential
1557,475401136,residential
1558,475401138,residential
1559,475401141,residential
1560,475401144,residential
1561,475405235,residential
1562,475405236,residential
1563,475405236,residential
1564,475405237,residential
1565,475406248,residential
1566,475406249,tertiary
1567,475406249,tertiary
1568,475406249,tertiary
1569,475406249,tertiary
1570,475406249,tertiary
1571,475407240,residential
1572,475407240,residential
1573,475407241,residential
1574,475407560,tertiary
1575,475407560,tertiary
1576,475407561,tertiary
1577,475407562,tertiary
1578,475407562,tertiary
1579,475407562,tertiary
1580,475407562,tertiary
1581,475407563,tertiary
1582,475407563,tertiary
1583,475407564,tertiary
1584,475407564,tertiary
1585,475407565,tertiary
1586,475407565,tertiary
1587,475407565,tertiary
1589,475407566,tertiary
1590,475407566,tertiary
1591,475407566,tertiary
1592,475407566,tertiary
1593,475407566,tertiary
1594,475408143,primary
1595,475408143,primary
1596,475408144,primary
1597,475408145,primary
1598,475408145,primary
1599,475408145,primary
1600,475408145,primary
1601,475408145,primary
1602,475408145,primary
1603,475408146,primary
1604,475408146,primary
1605,475408377,primary
1606,475408377,primary
1607,475408378,primary
1608,475408379,primary
1609,475408379,primary
1610,475408380,primary
1611,475408381,primary
1612,475408382,primary
1613,475408989,primary
1614,475408990,primary
1615,475408990,primary
1616,475408990,primary
1617,475408990,primary
1618,475408991,primary
1619,475408991,primary
1620,475919366,residential
1621,475919366,residential
1622,475919366,residential
1623,475919366,residential
1624,475919368,residential
1625,475947873,residential
1626,480064865,residential
1627,480065738,tertiary
1628,480065738,tertiary
1629,480065738,tertiary
1630,480065738,tertiary
1631,480065738,tertiary
1632,520072096,primary
1633,520072096,primary
1634,520072096,primary
1635,520072096,primary
1636,520072096,primary
1637,520072096,primary
1638,520729044,tertiary
1639,520729044,tertiary
1640,520729044,tertiary
1641,520729044,tertiary
1642,520729044,tertiary
1643,520729044,tertiary
1644,520729044,tertiary
1645,551113408,tertiary
1646,621350505,primary
1647,621350505,primary
1648,621350505,primary
1649,5401113,residential
1650,5404307,primary
1651,621350505,primary
1652,621350505,primary
1653,621350505,primary
1654,621350505,primary
1655,621350505,primary
1656,475133480,tertiary
1657,475133480,tertiary
1658,442636575,primary
1659,442636566,residential
1660,442636575,primary
1661,5403280,residential
1662,5403569,tertiary
1663,5403569,tertiary
1664,5403569,tertiary
1665,5403569,tertiary
1666,5403569,tertiary
1667,5404773,residential
1668,5405161,tertiary
1669,5405228,residential
1670,5405570,residential
1671,146304976,tertiary
1672,170023724,tertiary
1673,170023724,tertiary
1674,170023724,tertiary
1675,474931018,tertiary
1676,474931086,residential
1677,474938715,residential
1678,475180782,tertiary
1679,5393965,primary
1680,475333036,secondary
1681,454423146,residential
1682,454423146,residential
1683,454423146,residential
1684,5405900,residential
1685,475379409,tertiary
1686,475379409,tertiary
1687,475379409,tertiary
1688,475379409,tertiary
1689,5404198,tertiary
1690,169024737,primary
1691,169024737,primary
